2005-05,147
2005-06,465
2005-07,383
2005-08,220
2005-09,177
2005-10,706
2005-11,714
2005-12,602
2006-01,1041
2006-02,739
2006-03,1125
2006-04,1229
2006-05,1080
2006-06,1066
2006-07,772
2006-08,670
2006-09,441
2006-10,445
2006-11,1020
2006-12,795
2007-01,2352
2007-02,2689
2007-03,1727
2007-04,1507
2007-05,1308
2007-06,1066
2007-07,1354
2007-08,1394
2007-09,1181
2007-10,1680
2007-11,1260
2007-12,1171
2008-01,1565
2008-02,1053
2008-03,784
2008-04,918
2008-05,676
2008-06,1265
2008-07,1105
2008-08,738
2008-09,1266
2008-10,1185
2008-11,929
2008-12,625
2009-01,874
2009-02,889
2009-03,1194
2009-04,742
2009-05,1010
2009-06,891
2009-07,698
2009-08,855
2009-09,1273
2009-10,1332
2009-11,1174
2009-12,1078
2010-01,1619
2010-02,1996
2010-03,2447
2010-04,1756
2010-05,1708
2010-06,2381
2010-07,3943
2010-08,4614
2010-09,4666
2010-10,4440
2010-11,5845
2010-12,4706
2011-01,5806
2011-02,4173
2011-03,4849
2011-04,5341
2011-05,5809
2011-06,6117
2011-07,3193
2011-08,1512
2011-09,1292
2011-10,804
